City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sarmiento,-45.5882,-69.07,5.88,71,49,1.77,AR,1715270810
83,nouadhibou,20.931,-17.0347,22.99,68,20,7.72,MR,1715270810
84,kailua-kona,19.6406,-155.9956,21.98,83,0,1.54,US,1715270807
85,tenno,39.9,139.9667,11.88,68,70,7.14,JP,1715270810
86,quincy,42.2529,-71.0023,18.2,61,100,6.69,US,1715270287
87,mount pearl,47.5166,-52.7813,11.36,66,96,2.24,CA,1715270811
88,palu,-0.8917,119.8707,24.5,97,100,1.61,ID,1715270811
89,khujner,23.7833,76.6,34.64,27,42,4.9,IN,1715270811
90,rongelap,11.1635,166.8941,26.97,78,76,8.44,MH,1715270811
91,ribeira grande,38.5167,-28.7,20.22,73,75,5.66,PT,1715270811
92,yellowknife,62.456,-114.3525,14.67,50,5,4.02,CA,1715270812
93,longyearbyen,78.2186,15.6401,-0.09,69,75,11.83,SJ,1715270812
94,punta arenas,-53.15,-70.9167,5.06,65,75,1.54,CL,1715270812
95,antalaha,-14.9003,50.2788,23.95,78,57,4.39,MG,1715270812
96,inhambane,-23.865,35.3833,21.63,79,0,2.99,MZ,1715270812
97,les cayes,18.2,-73.75,29.62,67,66,5.13,HT,1715270813
98,banda aceh,5.5577,95.3222,28.17,79,60,1.75,ID,1715270813
99,anadyr,64.75,177.4833,-8.72,79,20,3.0,RU,1715270813
100,pisco,-13.7,-76.2167,20.01,88,100,4.12,PE,1715270813
101,new norfolk,-42.7826,147.0587,12.72,97,96,0.87,AU,1715270813
102,st. john's,47.5649,-52.7093,11.82,66,75,6.17,CA,1715270607
103,kayangel,8.0823,134.7173,28.42,78,56,3.36,PW,1715270814
104,champerico,14.3,-91.9167,30.36,65,92,3.06,GT,1715270814
105,tsiombe,-25.3,45.4833,22.98,78,0,4.5,MG,1715270814
106,kapuskasing,49.4169,-82.4331,10.05,53,40,3.6,CA,1715270762
107,ilulissat,69.2167,-51.1,-2.99,74,75,2.06,GL,1715270814
108,kerikeri,-35.2268,173.9474,7.73,80,31,2.95,NZ,1715270814
109,hawaiian paradise park,19.5933,-154.9731,20.57,98,100,1.54,US,1715270815
110,missoula,47.0166,-113.8009,3.22,67,82,1.36,US,1715270815
111,tazovsky,67.4667,78.7,-9.24,95,80,4.42,RU,1715270815
112,fortuna,40.5982,-124.1573,21.19,62,0,3.6,US,1715270816
113,poronaysk,49.2167,143.1167,5.31,84,100,3.71,RU,1715270816
114,biltine,14.5333,20.9167,40.68,8,22,6.4,TD,1715270746
115,luderitz,-26.6481,15.1594,17.52,70,29,7.65,NA,1715270593
116,nar'yan-mar,67.6713,53.087,-1.61,95,100,11.62,RU,1715270816
117,klyuchi,52.2667,79.1667,19.97,45,100,7.48,RU,1715270816
118,bengkulu,-3.8004,102.2655,25.82,88,14,2.26,ID,1715270816
119,kodiak,57.79,-152.4072,-1.27,93,20,0.0,US,1715270817
120,wewak,-3.5534,143.6268,25.68,91,96,2.11,PG,1715270817
121,bam,29.106,58.357,29.45,12,2,7.39,IR,1715270817
122,campbell river,50.0163,-125.2446,15.25,64,13,2.84,CA,1715270817
123,dryden,49.7833,-92.7503,11.41,37,7,2.5,CA,1715270817
124,manaure,11.7751,-72.4445,30.57,67,100,3.04,CO,1715270817
125,nelson bay,-32.7167,152.15,17.78,63,58,2.56,AU,1715270818
126,laela,-8.5667,32.05,17.76,83,49,1.76,TZ,1715270818
127,haiku-pauwela,20.9219,-156.3051,22.8,81,20,4.12,US,1715270818
128,cambria,35.5641,-121.0808,18.57,89,0,1.34,US,1715270818
129,selfoss,63.9331,-20.9971,7.94,44,100,2.53,IS,1715270819
130,harar,9.3094,42.1258,19.4,75,58,1.82,ET,1715270819
131,islamorada,24.9243,-80.6278,29.0,83,0,5.41,US,1715270630
132,melekeok village,7.4957,134.6367,27.47,83,50,2.57,PW,1715270819
133,santa cruz,-17.8,-63.1667,21.03,78,75,7.72,BO,1715270646
134,vernon,50.2581,-119.2691,17.35,48,40,2.06,CA,1715270272
135,balabac,7.9868,117.0645,27.89,78,41,3.31,PH,1715270820
136,luau,-10.7073,22.2247,24.86,50,32,1.66,AO,1715270820
137,avarua,-21.2078,-159.775,27.03,83,75,5.66,CK,1715270820
138,kivioli,59.3531,26.9711,6.7,66,91,2.72,EE,1715270820
139,uturoa,-16.7333,-151.4333,27.5,71,18,6.2,PF,1715270820
140,ushuaia,-54.8,-68.3,1.79,80,0,1.03,AR,1715270722
141,mahina,-17.5065,-149.489,23.87,78,20,1.54,PF,1715270821
142,bardai,11.65,7.2333,40.14,11,34,2.36,NG,1715270821
143,limon,10.0,-83.0333,31.14,74,40,3.09,CR,1715270794
144,villa emilio carranza,19.9667,-96.6,35.12,43,21,3.1,MX,1715270821
145,jamestown,42.097,-79.2353,15.01,59,20,4.12,US,1715270781
146,west end,26.6833,-78.9667,27.99,73,0,4.91,BS,1715270821
147,puerto carreno,6.189,-67.4859,26.01,87,100,2.46,CO,1715270822
148,margaret river,-33.95,115.0667,19.66,86,4,6.52,AU,1715270822
149,port mathurin,-19.6833,63.4167,25.57,75,100,10.73,MU,1715270822
150,shimoda,34.6667,138.95,12.76,77,9,2.35,JP,1715270822
151,yeosu,34.7546,127.6599,12.66,67,0,2.79,KR,1715270822
152,vennesla,58.2694,7.9741,14.68,67,75,4.63,NO,1715270822
153,bredasdorp,-34.5322,20.0403,14.99,68,0,3.42,ZA,1715270823
154,eyl,7.9803,49.8164,29.58,79,77,4.95,SO,1715270823
155,farah,32.5,62.5,24.98,40,0,5.29,AF,1715270823
156,guerrero negro,27.9769,-114.0611,17.54,62,41,4.67,MX,1715270652
157,turpan,42.9333,89.1667,26.73,13,0,1.33,CN,1715270823
158,polyarnyy,69.1989,33.4478,-1.36,78,90,3.93,RU,1715270823
159,ulety,51.3572,112.4849,6.36,74,100,6.16,RU,1715270824
160,touros,-5.1989,-35.4608,29.97,67,100,6.12,BR,1715270768
161,la'ie,21.6477,-157.9253,23.98,85,4,1.79,US,1715270824
162,kamina,-8.7386,24.9906,23.28,57,29,1.43,CD,1715270824
163,sambava,-14.2667,50.1667,25.54,72,62,5.91,MG,1715270824
164,santiago de cao,-7.9589,-79.2392,19.07,88,75,6.17,PE,1715270824
165,namtsy,62.7161,129.6658,-2.46,78,27,4.55,RU,1715270825
166,lata,40.1629,-8.3327,29.95,42,54,4.42,PT,1715270825
167,rio grande,-32.035,-52.0986,17.06,55,0,4.13,BR,1715270825
168,usinsk,65.9939,57.5281,-0.52,89,100,2.68,RU,1715270825
169,okha,53.5739,142.9478,3.47,93,100,2.68,RU,1715270826
170,fundacion,10.5207,-74.185,31.32,65,99,1.94,CO,1715270826
171,paracuru,-3.41,-39.0306,29.5,67,59,5.47,BR,1715270826
172,bilajer,40.5681,50.0378,16.9,72,0,5.14,AZ,1715270826
173,mitu,1.1983,-70.1733,26.62,94,100,1.25,CO,1715270826
174,bel ombre,-4.6167,55.4167,28.64,81,98,5.69,SC,1715270826
175,nikol'sk,53.7189,46.0712,0.57,74,99,5.56,RU,1715270827
176,udachny,66.4167,112.4,-7.53,87,93,2.67,RU,1715270827
177,leava,-14.3,-178.1667,27.98,66,100,7.05,WF,1715270827
178,alofi,-19.0595,-169.9187,24.94,83,75,3.6,NU,1715270827
